Date,Close,High,Low,Open,Volume
2009-01-05 00:00:00+00:00,78518.26043200959,79117.74360624328,77389.70065240143,78202.35812647827,1816580000
2009-01-06 00:00:00+00:00,80148.69390177308,80791.3851659256,79366.30799770355,79663.15836739959,2137640000
2009-01-08 00:00:00+00:00,78206.69183641206,78206.69183641206,76623.70627610479,76912.44391918182,1968160000
2009-01-12 00:00:00+00:00,74619.00746646151,76300.22133812681,74095.77688598633,76299.73594456632,1763590000
2009-01-13 00:00:00+00:00,75575.49663921818,76137.01244969945,74647.45583674777,75133.71590546565,1965570000
2009-01-14 00:00:00+00:00,72470.98898565676,74368.82602027897,72257.90174142458,74031.1919215545,1919980000
2009-01-15 00:00:00+00:00,73581.24836821295,74055.29367508553,70898.55830678716,72492.01357154548,2507870000
2009-01-20 00:00:00+00:00,70471.0215951898,74432.16105969388,70471.0215951898,74378.8519209558,1989610000
2009-01-21 00:00:00+00:00,74046.86679717014,74068.98024551757,70992.272061734,72048.63154926756,2120080000
2009-01-22 00:00:00+00:00,71927.71608906798,73251.92054503597,70876.89017405268,72190.78953697812,2286190000
2009-01-26 00:00:00+00:00,72192.63748305291,73400.48713714723,71288.695333343,71733.15229293332,1815400000
2009-01-27 00:00:00+00:00,73425.57764229737,73831.0277582556,72640.53211406618,72899.60922892578,1784110000
2009-01-28 00:00:00+00:00,76034.52332696412,76521.95492865052,74653.22490929626,74675.178926792,2122250000
2009-01-29 00:00:00+00:00,73692.6643060986,75158.85433905758,73588.07536783442,75140.77156728879,1932100000
2009-02-02 00:00:00+00:00,73114.98923764797,73520.57342016604,71455.4511135025,71472.08394100191,1987080000
2009-02-03 00:00:00+00:00,73898.3992722351,74137.68874909727,72101.01535201537,73084.01666574644,2049840000
2009-02-04 00:00:00+00:00,73557.192932521,75236.5703176721,73257.14515291108,73661.08685427345,2197050000
2009-02-05 00:00:00+00:00,75325.08136020508,75721.13454931183,72854.25797966309,73003.8104136032,2511750000
2009-02-09 00:00:00+00:00,77247.9578867834,77571.68921022676,76497.58730876772,77208.15504946839,1906940000
2009-02-10 00:00:00+00:00,74089.67776847444,77674.31048774719,73887.05292866938,76679.14729618467,2443370000
2009-02-11 00:00:00+00:00,74394.54661560059,74994.36769528314,73366.48619273677,74447.04112135246,2236450000
2009-02-12 00:00:00+00:00,75153.73800648004,75192.73798802309,72893.3397780871,73616.26162088569,2428250000
2009-02-17 00:00:00+00:00,72724.13981221011,73819.94748292537,72582.21855147555,73636.98489465332,2335370000
2009-02-18 00:00:00+00:00,73244.36236021575,74239.77127376711,72570.2804167755,73877.03364592744,2029710000
2009-02-19 00:00:00+00:00,71563.86713436898,73662.94246041868,71549.48725199886,73336.08016578667,1991000000
2009-02-23 00:00:00+00:00,68417.36741226446,71615.09428932564,68366.09742665151,71615.09428932564,1977740000
